ConceptID,ConceptLabel,Dependencies
1,Artificial Intelligence,
2,Exponential Growth,
3,Knowledge Organizations,
4,Large Language Models,1
5,Generative AI,1|4
6,Strategic Implications,2|3
7,AI Benchmarks,1|4
8,Knowledge Management,3
9,Content Generation,4|5
10,AI Timelines,1|2
11,Dartmouth Conference,1
12,AI History,1|11
13,Machine Learning,1
14,Deep Learning,1|13
15,Neural Networks,13|14
16,Natural Language Processing,1|4|13
17,Expert Systems,1|12
18,AI Revolution,1|2|10|12
19,Prompt Engineering,4|5
20,AI Capability Trajectories,1|2|7|10
21,ELIZA,12|16
22,Transformer Architecture,14|15|16
23,GPT Models,4|14|22
24,BERT,4|14|22
25,Llama Models,4|14|22
26,Claude Models,4|14|22
27,DeepSeek Models,4|14|22
28,AlphaGo,12|14
29,Deep Blue,12
30,Watson,12|16
31,GANs,14|15
32,Diffusion Models,14|15|31
33,Text Generation,4|5|16
34,Image Generation,5|31|32
35,Text-to-Image Models,5|33|34
36,DALL-E,34|35
37,Midjourney,34|35
38,Stable Diffusion,32|34|35
39,Democratization of AI,1|2
40,AI Accessibility,1|39
41,Open Source AI,4|25|39
42,Proprietary AI,4|23|24|26
43,AI Cost Trends,2|39|40
44,Local AI Models,4|41
45,Cloud-Based AI,4|42
46,AI Adoption Curve,2|39|40
47,Disruption Theory,2|6
48,Public Knowledge,3|8
49,Private Knowledge,3|8
50,Knowledge Integration,8|48|49
51,Knowledge Scope,8|50
52,Personal Knowledge,49|51
53,Organizational Knowledge,3|8|49|51
54,Departmental Knowledge,49|51|53
55,Project Knowledge,49|51|53
56,Knowledge Protection,49|51
57,Privacy Regulations,56
58,FERPA,56|57
59,Hyperpersonalized Learning,4|5|40
60,Curriculum Development,59
61,AI-Assisted Teaching,4|5|59|60
62,Assessment Challenges,59|60|61
63,Academic Integrity,62
64,Research Integrity,63
65,Content Authenticity,9|33
66,Future Skills Development,18|60
67,AI Literacy,1|40|66
68,Knowledge Worker Productivity,5|9|50
69,Business Process Analysis,6|68
70,Customer Engagement Transformation,5|9|69
71,Product Development Acceleration,5|9|69
72,Competitive Advantage,6|47|69|70|71
73,Strategic Response Planning,6|72
74,Impact Assessment,6|18|73
75,LLM Limitations,4|7|93
76,World Models,1|4|75
77,Hallucination (AI),4|75
78,Factual Reliability,4|77
79,Ethical Considerations,1|77|78
80,Responsible AI,1|79
81,AI Governance,79|80
82,AI Center of Excellence,81
83,Organizational Structure,3|82
84,Centralized Control Models,81|83
85,Decentralized Control Models,81|83
86,Implementation Roadmapping,73|82
87,Change Management,73|86
88,Reasoning Capabilities,4|75|76
89,One-Shot Learning,4|88
90,Few-Shot Learning,4|88|89
